Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-150,FanDuel,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-148,DraftKings,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-155,BetMGM,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,118,FanDuel,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,112,DraftKings,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,114,BetMGM,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,114,DraftKings,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-108,BetMGM,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-150,DraftKings,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,3-Pointers,2.5,-127,BetMGM,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-129,DraftKings,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-148,BetMGM,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,-102,DraftKings,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,3-Pointers,2.5,107,BetMGM,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,116,FanDuel,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,110,DraftKings,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-105,BetMGM,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-148,FanDuel,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-145,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,3-Pointers,1.5,-130,BetMGM,UNDER,
Ron Harper Jr.,FA,Boston Celtics,3-Pointers,0.5,-226,DraftKings,OVER,
Ron Harper Jr.,FA,Boston Celtics,3-Pointers,0.5,169,DraftKings,UNDER,
